German,English
Nahrungsmittel,food
"Brot, Mehl und Getreideprodukte","Bread, flour and grain products"
Reis,rice
Mehl und andere Getreide,Flour and other grain
"Brot, Konditorei- und Dauerbackwaren","Bread, pastry and permanent bakery"
Brot,Bread
Andere Backwaren,Other baked goods
Kleinbrot und -gebäck,Small bread and pastries
Feingebäck und Konditoreiwaren,Fine biscuits and confectionery
Dauerbackwaren,Permanent bakery
Pizza und Quiche,Pizza and quiche
Teigwaren,pasta
Frühstückscerealien,Breakfast cereals
Andere Getreideprodukte,Other grain products
"Fleisch, Fleischwaren","Meat, meat products"
"Fleisch, frisch oder tiefgekühlt","Meat, fresh or frozen"
Rind- und Kalbfleisch,Cattle and veal
Rindfleisch,beef
Kalbfleisch,veal
Schweinefleisch,pork meat
Lammfleisch,Lamb
Geflügel,poultry
"Anderes Fleisch, frisch","Other meat, fresh"
Fleischerzeugnisse und Fleischzubereitungen,Meat products and meat preparations
Wurstwaren,Sausage
"Aufschnitt, übrige Fleischerzeugnisse und pfannenfertiges Fleisch","Cutlation, remaining meat products and meat ready"
Aufschnitt und übrige Fleischerzeugnisse,Cutting and remaining meat products
"Pfannenfertiges Fleisch, roh","Cheat ready -to -pane, raw"
Fische und Meeresfrüchte,Fish and seafood
"Fische, frisch","Fish, fresh"
"Fische, tiefgekühlt","Fish, frozen"
Fischkonserven und geräucherter Fisch,Fish and smoked fish
"Milch, Käse, Eier","Milk, cheese, eggs"
Milch und Joghurt,Milk and yogurt
Vollmilch,Full milk
Drinkmilch,Drink
Joghurt,yogurt
Käse,Cheese
Halbhart- und Hartkäse,Half-hard and hard cheese
"Frisch-, Weich- und Schmelzkäse","Fresh, soft and melting cheese"
Andere Milcherzeugnisse,Other milk products
Milchmischgetränke und Milchdesserts,Milk drinks and milk desserts
Rahm,cream
Eier,Egg
Speisefette und -öle,Medical fat and oils
Butter,butter
"Margarine, Speisefette und -öle","Margarine, food fats and oils"
Margarine und Speisefett,Margarine and food fat
Olivenöl,olive oil
Andere Speiseöle,Other food oils
"Früchte, Gemüse, Kartoffeln und Pilze","Fruits, vegetables, potatoes and mushrooms"
Früchte,fruit
Frische Früchte,Fresh fruits
Zitrusfrüchte,Citrus
Steinobst,Stone fruit
Kernobst,Core fruit
Bananen,Banana
Exotische Früchte,Exotic fruits
Beeren,Berry
Melonen und Trauben,Melons and grapes
Tiefgekühlte Früchte,Flying fruits
Trockenfrüchte und Ölsaaten,Dry fruits and oil seeds
Fruchtkonserven,Fruits
"Gemüse, Pilze und Kartoffeln","Vegetables, mushrooms and potatoes"
Frisches Gemüse und Pilze,Fresh vegetables and mushrooms
Fruchtgemüse,Fruit vegetables
Wurzelgemüse,root vegetable
Salatgemüse,Lettuce
Kohlgemüse,cabbage
